n_features,feature_selection,features,target,MAE,MSE,R_Squared,MAPE,MSLE
12,RFE,"Index(['IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'Packet Delay Budget (UE to PGW)',
       'dl_peak', 'ul_peak', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)'],
      dtype='object')",ul_avg,0.255,0.101,-0.094,0.301,0.025
13,RFE,"Index(['IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'Packet Delay Budget (UE to PGW)',
       'dl_peak', 'ul_peak', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)'],
      dtype='object')",ul_avg,0.244,0.095,-0.028,0.291,0.024
14,RFE,"Index(['IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'Packet Delay Budget (UE to PGW)',
       'dl_peak', 'ul_peak', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)'],
      dtype='object')",ul_avg,0.243,0.094,-0.019,0.293,0.024
15,RFE,"Index(['IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'Packet Delay Budget (UE to PGW)',
       'dl_peak', 'ul_peak', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)'],
      dtype='object')",ul_avg,0.267,0.114,-0.241,0.32,0.029
16,RFE,"Index(['IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'Packet Delay Budget (UE to PGW)',
       'dl_peak', 'ul_peak', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.241,0.092,-0.001,0.284,0.023
17,RFE,"Index(['Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'Packet Delay Budget (UE to PGW)',
       'dl_peak', 'ul_peak', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.257,0.106,-0.154,0.317,0.027
18,RFE,"Index(['Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'Packet Delay Budget (UE to PGW)',
       'dl_peak', 'ul_peak', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_Volume Traffic UL (MB)(MB)', 'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.249,0.103,-0.12,0.305,0.026
19,RFE,"Index(['Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_peak', 'ul_peak',
       'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_Volume Traffic UL (MB)(MB)', 'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.268,0.11,-0.188,0.313,0.027
20,RFE,"Index(['Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_peak', 'ul_peak',
       'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_Volume Traffic UL (MB)(MB)', 'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.266,0.11,-0.19,0.311,0.027
21,RFE,"Index(['Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_peak', 'ul_peak',
       'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_Volume Traffic UL (MB)(MB)', 'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.263,0.111,-0.206,0.316,0.028
22,RFE,"Index(['Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_peak', 'ul_peak',
       'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_Volume Traffic UL (MB)(MB)', 'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.266,0.116,-0.254,0.32,0.029
23,RFE,"Index(['RRC Setup Success Ratio_LTE(%)',
       'Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_peak', 'ul_peak',
       'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_Volume Traffic UL (MB)(MB)', 'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.245,0.097,-0.048,0.298,0.024
24,RFE,"Index(['RRC Setup Success Ratio_LTE(%)',
       'Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_peak', 'ul_peak',
       'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_Volume Traffic UL (MB)(MB)', 'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.25,0.095,-0.031,0.295,0.024
25,RFE,"Index(['RRC Setup Success Ratio_LTE(%)',
       'Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_peak', 'ul_peak',
       'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_Volume Traffic UL (MB)(MB)', 'MS_L.traffic.User.ULData.Avg(number)',
       'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.248,0.102,-0.109,0.303,0.026
26,RFE,"Index(['RRC Setup Success Ratio_LTE(%)', 'E-RAB Setup Success Ratio_LTE(%)',
       'Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_peak', 'ul_peak',
       'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_Volume Traffic UL (MB)(MB)', 'MS_L.traffic.User.ULData.Avg(number)',
       'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.269,0.116,-0.252,0.314,0.029
27,RFE,"Index(['RRC Setup Success Ratio_LTE(%)', 'E-RAB Setup Success Ratio_LTE(%)',
       'Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_peak', 'ul_peak',
       'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_Volume Traffic UL (MB)(MB)', 'MS_L.traffic.User.ULData.Avg(number)',
       'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.258,0.112,-0.209,0.311,0.028
28,RFE,"Index(['RRC Setup Success Ratio_LTE(%)', 'E-RAB Setup Success Ratio_LTE(%)',
       'Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_peak', 'ul_peak',
       'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'MS_L.traffic.User.ULData.Avg(number)', 'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.259,0.108,-0.175,0.314,0.027
29,RFE,"Index(['RRC Setup Success Ratio_LTE(%)', 'E-RAB Setup Success Ratio_LTE(%)',
       'Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_avg', 'dl_peak',
       'ul_peak', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'MS_L.traffic.User.ULData.Avg(number)', 'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.263,0.111,-0.205,0.321,0.028
30,RFE,"Index(['RRC Setup Success Ratio_LTE(%)', 'E-RAB Setup Success Ratio_LTE(%)',
       'Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)',
       'CSFB execution ratio_NOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_avg', 'dl_peak',
       'ul_peak', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'MS_L.traffic.User.ULData.Avg(number)', 'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.264,0.118,-0.284,0.329,0.03
31,RFE,"Index(['RRC Setup Success Ratio_LTE(%)', 'E-RAB Setup Success Ratio_LTE(%)',
       'E-RAB Drop Ratio_LTE(%)',
       'Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)',
       'CSFB execution ratio_NOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_avg', 'dl_peak',
       'ul_peak', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'MS_L.traffic.User.ULData.Avg(number)', 'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.255,0.107,-0.157,0.296,0.026
32,RFE,"Index(['RRC Setup Success Ratio_LTE(%)', 'E-RAB Setup Success Ratio_LTE(%)',
       'E-RAB Drop Ratio_LTE(%)',
       'Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)',
       'CSFB execution ratio_NOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_avg', 'dl_peak',
       'ul_peak', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'Volume Traffic DL (MB)(MB)', 'MS_Volume Traffic UL (MB)(MB)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'MS_L.traffic.User.ULData.Avg(number)', 'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.251,0.101,-0.1,0.272,0.025
33,RFE,"Index(['RRC Setup Success Ratio_LTE(%)', 'E-RAB Setup Success Ratio_LTE(%)',
       'E-RAB Drop Ratio_LTE(%)',
       'Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_LTE(%)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)',
       'CSFB execution ratio_NOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_avg', 'dl_peak',
       'ul_peak', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'Volume Traffic DL (MB)(MB)', 'MS_Volume Traffic UL (MB)(MB)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'MS_L.traffic.User.ULData.Avg(number)', 'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.284,0.126,-0.367,0.317,0.031
34,RFE,"Index(['RRC Setup Success Ratio_LTE(%)', 'E-RAB Setup Success Ratio_LTE(%)',
       'E-RAB Drop Ratio_LTE(%)',
       'Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_LTE(%)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)',
       'CSFB execution ratio_NOM_LTE(number)', 'CSFB SR v7.0_NOM_LTE(number)',
       'S1 Signaling Success Ratio_LTE(%)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)', 'dl_avg', 'dl_peak',
       'ul_peak', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)', 'RTWP(dBm0)',
       'Volume Traffic DL (MB)(MB)', 'MS_Volume Traffic UL (MB)(MB)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'MS_L.traffic.User.ULData.Avg(number)', 'MS_RBLER-DL(%)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",ul_avg,0.249,0.098,-0.067,0.307,0.025
